route_type,date_type,route_start,time
L,W,S,6:00
L,W,A,6:40
L,W,S,7:20
L,W,A,8:00
L,W,S,8:45
L,W,A,9:30
L,W,S,10:15
L,W,A,11:00
L,W,S,11:45
L,W,A,12:30
L,W,S,13:15
L,W,A,14:30
L,W,S,15:40
L,W,A,16:30
L,W,S,17:20
L,WW,S,18:05
L,W,A,18:20
L,WW,A,19:05
L,W,S,19:00
L,W,A,19:50
L,W,S,21:00
L,W,A,21:40
L,W,S,22:20
L,W,A,23:00
L,S,S,6:00
L,S,A,6:40
L,S,S,7:20
L,S,A,8:00
L,S,S,8:00
L,S,A,8:45
L,S,S,8:45
L,S,A,9:30
L,S,S,9:30
L,S,A,10:15
L,S,S,10:15
L,S,A,11:00
L,S,S,11:00
L,S,A,11:45
L,S,S,11:45
L,S,A,12:30
L,S,S,12:30
L,S,A,14:00
L,S,S,14:00
L,S,A,14:45
L,S,S,14:45
L,S,A,15:30
L,S,S,15:30
L,S,A,16:15
L,S,S,16:15
L,S,A,17:00
L,S,S,17:00
L,S,A,17:45
L,S,S,17:45
L,S,A,18:30
L,S,S,18:30
L,S,A,19:15
L,S,S,19:15
L,S,A,19:50
L,S,S,21:00
L,S,A,21:40
L,S,S,22:20
L,S,A,23:00
