中环 / 尖沙咀渡轮服务,,,
营办商:,天星小轮有限公司,,
登船地点:,"中环: 中环 七号码头 
尖沙咀: 梳士巴利道尖沙咀渡轮码头",,
航行时间:,约 9 分钟,,
更新日期 2018年2月14日,,,
,,,
方向,服务日子,服务时段,"相隔时间
(分钟)"
中环 至 尖沙咀,星期一至五 (公众假期除外),6:30am-7:25am,10
中环 至 尖沙咀,星期一至五 (公众假期除外),7:25am-9:55am,6
中环 至 尖沙咀,星期一至五 (公众假期除外),9:55am-8:40pm,6
中环 至 尖沙咀,星期一至五 (公众假期除外),8:40pm-11:30pm,10
中环 至 尖沙咀,星期六、日及公众假期,6:30am-7:25am,12
中环 至 尖沙咀,星期六、日及公众假期,7:25am-10:40pm,8
中环 至 尖沙咀,星期六、日及公众假期,10:40pm-11:30pm,12
尖沙咀 至 中环,星期一至五 (公众假期除外),6:30am-7:15am,10
尖沙咀 至 中环,星期一至五 (公众假期除外),7:15am-9:45am,6
尖沙咀 至 中环,星期一至五 (公众假期除外),9:45am-8:30pm,6
尖沙咀 至 中环,星期一至五 (公众假期除外),8:30pm-11:30pm,10
尖沙咀 至 中环,星期六、日及公众假期,6:30am-7:15am,12
尖沙咀 至 中环,星期六、日及公众假期,7:15am-10:30pm,8
尖沙咀 至 中环,星期六、日及公众假期,10:30pm-11:30pm,12
