湾仔 / 尖沙咀渡轮服务,,,
营办商:,天星小轮有限公司,,
登船地点:,"湾仔: 会议道湾仔渡轮码头
尖沙咀: 梳士巴利道尖沙咀渡轮码头",,
航行时间:,约 8 分钟,,
更新日期 2018年2月14日,,,
,,,
方向,服务日子,服务时段,"相隔时间
(分钟)"
湾仔 至 尖沙咀,星期一至六 (公众假期除外),7:30am-7:52am,11
湾仔 至 尖沙咀,星期一至六 (公众假期除外),7:52am-9:12am,8
湾仔 至 尖沙咀,星期一至六 (公众假期除外),9:12am-4:48pm,12
湾仔 至 尖沙咀,星期一至六 (公众假期除外),4:48pm-6:24pm,8
湾仔 至 尖沙咀,星期一至六 (公众假期除外),6:24pm-8:00pm,12
湾仔 至 尖沙咀,星期一至六 (公众假期除外),8:00pm-10:20pm,10-14
湾仔 至 尖沙咀,星期一至六 (公众假期除外),10:20pm-11:00pm,20
湾仔 至 尖沙咀,星期日及公众假期,7:40am-1:00pm,20
湾仔 至 尖沙咀,星期日及公众假期,1:00pm-7:00pm,12
湾仔 至 尖沙咀,星期日及公众假期,7:00pm-10:20pm,10-14
湾仔 至 尖沙咀,星期日及公众假期,10:20pm-11:00pm,20
尖沙咀 至 湾仔,星期一至六 (公众假期除外),7:20am-7:30am,10
尖沙咀 至 湾仔,星期一至六 (公众假期除外),7:30am-7:41am,11
尖沙咀 至 湾仔,星期一至六 (公众假期除外),7:41am-9:00am,8
尖沙咀 至 湾仔,星期一至六 (公众假期除外),9:00am-4:36pm,12
尖沙咀 至 湾仔,星期一至六 (公众假期除外),4:36pm-6:12pm,8
尖沙咀 至 湾仔,星期一至六 (公众假期除外),6:12pm-7:36pm,12
尖沙咀 至 湾仔,星期一至六 (公众假期除外),7:36pm-10:30pm,10-14
尖沙咀 至 湾仔,星期一至六 (公众假期除外),10:30pm-10:50pm,20
尖沙咀 至 湾仔,星期日及公众假期,7:30am-12:50pm,20
尖沙咀 至 湾仔,星期日及公众假期,12:50pm-7:00pm,12
尖沙咀 至 湾仔,星期日及公众假期,7:00pm-10:30pm,10-14
尖沙咀 至 湾仔,星期日及公众假期,10:30pm-10:50pm,20
